arrived_at,num_prefill_tokens,num_decode_tokens
0.00427079356404961,14545,158
0.16505415039779342,2370,140
0.1965514084169342,13954,323
1.0062853929940014,12513,298
1.828146591128291,3575,412
2.655614194577824,8286,1163
4.3573645083156425,5894,704
4.7460350041912065,7479,927
4.963011413985246,15421,282
5.384610581532205,8032,218
5.527870193011339,6558,120
6.346440761269419,16117,300
7.009694662407506,24958,163
7.103451030388744,4126,259
7.581081126241731,15165,564
8.751696260096,14528,144
8.775173238855482,7302,462
9.517231784605631,9048,274
9.691676893500292,10207,388
9.775074734973819,7532,533
10.000873977729798,8002,355
10.20234282994698,11679,1226
11.06303177711352,11802,883
11.393106105334729,3835,228
12.17081268598527,5665,593
12.196433300129298,13693,207
12.839543529100244,1593,169
13.328331132373057,6108,988
13.868203248920235,15732,868
14.348063474767477,4739,801
14.47440862393193,6675,476
16.559472000072823,2957,224
16.727201597353254,12409,283
16.96900077343429,7211,1226
17.158075383921734,7327,116
18.428553202914998,9130,143
19.348682882769523,7691,103
22.013134788399917,6576,565
23.011314063935743,5912,907
23.072720048622212,27523,691
