arrived_at,num_prefill_tokens,num_decode_tokens
0.3915757623626289,9969,166
2.6730894194687145,5576,1020
3.1157906024330537,6116,900
4.557159232498874,10580,157
5.607055637211307,5574,195
5.989434440803376,3815,1057
6.897896300121674,6156,530
7.707291660105357,11544,204
7.958485629282791,8112,807
8.140391469583175,11280,97
9.051741015966552,10911,1152
9.092022262844976,8951,121
10.008126763867487,4943,261
10.049524057286607,11691,1111
10.10022472089569,11571,710
10.220975959753426,13147,807
10.248865165839366,4593,160
10.316237244409969,9066,321
10.693987527709018,3798,665
11.089619398926118,6159,1226
12.526897665867121,5519,156
13.309672265769768,8584,407
15.34188935539863,10424,583
15.7577263387449,5546,462
16.460169905857736,7515,253
16.813234809269687,6028,464
17.328148064580837,2245,257
17.627677286888886,3135,449
17.991745798553605,4810,437
18.245195936325025,9147,625
19.26486792815161,11038,443
19.688473381855133,20272,523
20.256588379684302,3258,740
20.306190659094238,21284,934
20.876640076319834,10605,365
20.94691249211589,8940,254
21.03612593248073,11775,374
21.265224394458134,20254,818
21.482109371823263,8689,968
22.584397321795105,9149,910
